,wavelength,wavelength_bin_width,transit_depth,transit_depth_error
81,4.618886e+00,9.864000e-03,8.360000e-04,4.200000e-05
82,4.638614e+00,9.864000e-03,8.960000e-04,4.300000e-05
83,4.658341e+00,9.864000e-03,1.001000e-03,4.200000e-05
84,4.678069e+00,9.864000e-03,9.260000e-04,4.300000e-05
85,4.697797e+00,9.864000e-03,1.012000e-03,4.600000e-05
86,4.717524e+00,9.864000e-03,9.080000e-04,4.400000e-05
87,4.737252e+00,9.864000e-03,8.710000e-04,4.400000e-05
88,4.756979e+00,9.864000e-03,9.600000e-04,4.500000e-05
89,4.776707e+00,9.864000e-03,9.390000e-04,4.800000e-05
90,4.796435e+00,9.864000e-03,9.240000e-04,4.700000e-05
91,4.816162e+00,9.864000e-03,8.880000e-04,4.600000e-05
92,4.835890e+00,9.864000e-03,8.750000e-04,4.900000e-05
93,4.855618e+00,9.864000e-03,9.410000e-04,5.000000e-05
94,4.875345e+00,9.864000e-03,8.650000e-04,5.200000e-05
95,4.895073e+00,9.864000e-03,8.690000e-04,5.200000e-05
96,4.914800e+00,9.864000e-03,9.220000e-04,5.000000e-05
97,4.934528e+00,9.864000e-03,8.760000e-04,5.400000e-05
98,4.954256e+00,9.864000e-03,8.980000e-04,5.400000e-05
99,4.973983e+00,9.864000e-03,8.940000e-04,5.500000e-05
100,4.993711e+00,9.864000e-03,9.100000e-04,6.000000e-05
101,5.013438e+00,9.864000e-03,9.800000e-04,7.400000e-05
102,5.033166e+00,9.864000e-03,1.122000e-03,1.220000e-04
103,5.052894e+00,9.864000e-03,9.100000e-04,9.300000e-05
