2.883000000000000007e+00,1.005137627172642293e-03,2.573101138065422283e-05
2.923499999999999766e+00,9.953871606712149690e-04,2.402134092722692924e-05
2.963999999999999968e+00,9.467124570269848860e-04,2.392357747910726920e-05
3.004500000000000171e+00,1.021632028555969404e-03,2.231721622475310541e-05
3.044999999999999929e+00,9.558627309345961920e-04,2.217126986649586111e-05
3.085499999999999687e+00,9.840001122450505594e-04,2.181367367025030716e-05
3.126500000000000057e+00,9.779193261594979012e-04,2.138794511316252306e-05
3.166999999999999815e+00,1.010247521914256529e-03,2.171853211742667762e-05
3.207500000000000018e+00,9.359562074371872683e-04,2.177046701472783695e-05
3.248000000000000220e+00,9.716878350658441060e-04,2.174971838957598071e-05
3.288499999999999979e+00,9.697242457976342411e-04,2.124008928217083894e-05
3.329000000000000181e+00,9.662554674536604805e-04,2.128034360747441266e-05
3.369500000000000384e+00,9.349405676914776921e-04,2.158737897435964039e-05
3.410000000000000142e+00,9.256843918584760833e-04,2.155952642061936714e-05
3.450499999999999901e+00,9.679672263676650885e-04,2.135589804707986098e-05
3.491500000000000270e+00,9.828195154326169539e-04,2.136780525935059829e-05
3.532000000000000028e+00,9.860001922802758001e-04,2.223373976930526728e-05
3.572499999999999787e+00,9.441148810468847751e-04,2.147636441482501918e-05
3.612999999999999989e+00,9.715725787992015748e-04,2.294899519734630290e-05
3.653500000000000192e+00,9.461464231911397146e-04,2.209721042203127909e-05
3.693999999999999950e+00,9.913794101758051282e-04,2.242424887594406810e-05
3.839500000000000135e+00,8.743382199963989224e-04,2.406423278969020921e-05
3.879000000000000004e+00,9.245132351552523293e-04,2.352304362758489393e-05
3.918499999999999872e+00,9.102934555645906698e-04,2.501142153527308916e-05
3.958000000000000185e+00,9.171796587047068364e-04,2.427490794449755170e-05
3.997500000000000497e+00,9.124741788138163254e-04,2.562215149310905908e-05
4.037000000000000810e+00,9.029328973648593484e-04,2.605929352151748483e-05
4.076500000000000234e+00,9.358262334909716283e-04,2.719846967208616170e-05
4.115999999999999659e+00,9.518408808248905858e-04,2.723993797408620654e-05
4.155499999999999972e+00,9.366527759129990565e-04,2.840560905686031465e-05
4.194499999999999673e+00,8.920669955678654046e-04,2.897843102706891145e-05
4.233999999999999986e+00,9.026154935332071985e-04,2.921084572519164340e-05
4.273500000000000298e+00,9.047660739368813473e-04,3.030599292574475678e-05
4.313000000000000611e+00,9.214578357378758059e-04,3.339099525606700357e-05
4.352500000000000036e+00,8.985042966330441389e-04,3.330282741649058222e-05
4.391999999999999460e+00,8.985502603244821529e-04,3.315324061809814509e-05
4.431499999999999773e+00,8.930817936532677763e-04,3.525680418951256502e-05
4.471000000000000085e+00,8.862887459164893239e-04,3.598209892467297329e-05
4.510500000000000398e+00,9.457895250294003206e-04,3.729552649656210140e-05
4.550000000000000711e+00,9.108284997997387333e-04,3.820109619413237389e-05
4.589500000000000135e+00,9.313437346653907550e-04,3.980952006146677572e-05
4.628499999999999837e+00,9.138023971846364344e-04,3.983655386768332810e-05
4.667999999999999261e+00,9.854056416515883775e-04,3.906666215380851762e-05
4.707499999999999574e+00,9.230093554425444552e-04,4.124828913360982448e-05
4.746999999999999886e+00,8.889433620998121602e-04,4.180552337600877515e-05
4.786500000000000199e+00,9.046581142205847295e-04,4.386695064044501499e-05
4.826000000000000512e+00,8.588936170765509946e-04,4.318052244712101642e-05
4.865499999999999936e+00,8.837597746876659248e-04,4.689223768440691002e-05
4.904999999999999361e+00,9.380236717822900208e-04,4.649507528056471504e-05
4.944499999999999673e+00,8.768134551420778307e-04,4.799626986772662801e-05
4.983999999999999986e+00,8.878969303859961075e-04,4.807818127354541895e-05
5.023500000000000298e+00,9.004972743957016844e-04,5.156290706062338104e-05
5.062500000000000000e+00,9.489814262990603965e-04,5.171640607597791496e-05
