Wavelength(microns),(Rp/R*)^2,Error
4.717500000000000249e+00,8.874162232418187236e-04,4.478543288463308610e-05
4.737000000000000099e+00,8.637379895007230588e-04,4.436868947207010046e-05
4.756999999999999673e+00,9.586321005772417995e-04,4.459069357154856004e-05
4.777000000000000135e+00,9.344153728235113929e-04,4.634958795269806988e-05
4.796499999999999986e+00,9.081346428524893427e-04,4.824965867340864700e-05
4.815999999999999837e+00,9.091213993899099639e-04,4.529437172229585853e-05
4.836000000000000298e+00,8.739737754838413156e-04,4.723790014022587462e-05
4.855500000000000149e+00,9.636261620877342726e-04,4.964615269186870976e-05
4.875000000000000000e+00,8.516259969486380697e-04,4.924930556535432591e-05
4.894999999999999574e+00,8.751219122127780513e-04,4.853574010044546939e-05
4.915000000000000036e+00,9.175676456974330136e-04,4.945451537951242078e-05
4.934499999999999886e+00,8.874622092664163648e-04,5.150527130884109120e-05
4.954000000000000625e+00,9.084210404545422449e-04,5.109113209450695265e-05
4.974000000000000199e+00,9.086028199117824559e-04,5.059291347436059219e-05
4.993999999999999773e+00,9.158661588055590783e-04,5.319644401337428243e-05
5.013499999999999623e+00,9.201326066788587804e-04,5.566955954664491751e-05
5.032999999999999474e+00,9.733881588435897014e-04,5.555215628184212179e-05
5.052999999999999936e+00,8.965535667823171717e-04,5.540231306058619184e-05
5.072499999999999787e+00,9.852640375957115015e-04,5.510870340413025908e-05
